feature,importance
scheduled_flight_duration,0.11665890216322974
ground_time_pressure,0.11076595190221124
scheduled_ground_time_minutes,0.09876744530048054
load_x_pressure,0.09839268627819688
traffic_density,0.09078188030381003
congestion_impact,0.08949805618751339
ground_time_buffer,0.0889201478844124
stress_factor,0.08793188953771557
load_factor,0.07222745430301579
boarding_complexity,0.06474835139141119
hot_bag_ratio,0.02543126980781417
rush_hour_intensity,0.013458597762425377
peak_x_load,0.012548791914312145
airport_congestion,0.008658267722002781
altitude_complexity,0.007719633298639541
is_peak_hour,0.007538591162874397
hour_cos,0.005773113349060166
operational_risk,0.00017896973087468785
